"SKU","Product Name","Category","Material","Finish","Application","MOQ","Price","Local Image Path","WooCommerce Image Note"
"ABS-ACC-001","Bag Accessories 01","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (1).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-002","Bag Accessories 02","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (2).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-003","Bag Accessories 03","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (3).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-004","Bag Accessories 04","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (4).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-005","Bag Accessories 05","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (5).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-006","Bag Accessories 06","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (6).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-007","Bag Accessories 07","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (7).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-008","Bag Accessories 08","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (8).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-009","Bag Accessories 09","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (9).jpg","Upload image to WordPress media library before final import"
"ABS-ACC-010","Bag Accessories 10","Accessories","Zinc alloy / brass / mixed material","Plated, polished or custom finish","Handbags, fashion bags, straps and small leather goods","300 pcs","Request Quote","assets/catalog/Accessories/Accessories (10).jpg","Upload image to WordPress media library before final import"
